ba_code,ba_name,region,timezone,is_iso_rto,expects_solar,expects_wind
CISO,California Independent System Operator,West,America/Los_Angeles,true,true,true
ERCO,Electric Reliability Council of Texas (ERCOT),Texas,America/Chicago,true,true,true
MISO,Midcontinent Independent System Operator,Midwest,America/New_York,true,true,true
PJM,PJM Interconnection,Mid-Atlantic,America/New_York,true,true,true
NYIS,New York Independent System Operator,Northeast,America/New_York,true,true,true
ISNE,ISO New England,Northeast,America/New_York,true,true,true
SWPP,Southwest Power Pool,Central,America/Chicago,true,true,true
BPAT,Bonneville Power Administration,Northwest,America/Los_Angeles,false,false,true
FPL,Florida Power & Light,Southeast,America/New_York,false,true,false
DUK,Duke Energy Carolinas,Southeast,America/New_York,false,true,false
SOCO,Southern Company Services,Southeast,America/New_York,false,true,true
